1,102
1,414
1,429
1,673
1,694
1,820
1,841
2,54
2,170
2,827
2,931
3,181
3,343
3,494
3,717
4,554
4,841
4,895
4,916
5,818
6,71
6,120
6,178
6,191
6,297
6,300
6,345
6,447
6,607
6,610
6,661
6,838
6,845
6,883
6,911
7,28
7,256
7,286
7,316
7,325
7,357
7,412
7,430
7,644
7,807
7,845
7,895
8,29
8,52
8,96
8,99
8,147
8,150
8,206
8,218
8,241
8,271
8,287
8,316
8,327
8,430
8,447
8,572
8,690
8,812
8,824
8,909
9,97
9,170
9,215
9,310
9,368
9,698
9,820
9,924
10,163
10,178
10,231
10,410
10,430
10,507
11,286
11,829
12,88
13,198
13,334
13,414
13,734
14,575
14,845
15,198
16,39
16,76
16,121
16,373
16,545
16,581
16,808
17,614
18,70
18,88
18,115
18,182
18,733
18,834
18,892
18,926
19,72
19,456
19,772
19,788
20,97
20,178
20,193
20,234
20,281
20,421
20,426
20,449
20,465
20,625
20,665
20,691
20,728
20,895
20,911
21,117
21,835
22,272
22,275
22,484
22,801
23,160
23,256
23,304
23,396
23,601
23,644
24,73
24,207
24,217
24,282
24,286
24,327
24,393
24,535
24,598
24,617
24,845
24,888
24,909
25,141
25,429
25,470
25,517
25,718
26,581
26,845
27,307
27,587
28,7
28,92
28,121
28,123
28,136
28,155
28,177
28,224
28,267
28,306
28,332
28,363
28,394
28,469
28,475
28,503
28,526
28,601
28,607
28,609
28,744
28,791
28,829
29,8
29,55
29,77
29,96
29,99
29,106
29,116
29,133
29,147
29,178
29,218
29,271
29,297
29,339
29,369
29,398
29,430
29,437
29,447
29,525
29,535
29,597
29,682
29,749
29,782
29,784
29,790
29,812
29,824
29,883
29,909
30,651
31,153
31,654
31,850
32,41
32,144
32,227
32,359
32,592
32,667
33,46
33,141
33,148
33,178
33,283
33,284
33,330
33,429
33,445
33,474
33,516
33,673
33,707
34,845
34,885
35,786
36,274
37,780
37,883
38,488
39,16
39,165
39,373
39,491
39,729
39,845
39,898
40,82
40,120
40,178
40,567
40,575
40,723
40,898
41,32
41,144
41,302
41,359
41,481
41,485
41,592
41,667
42,72
42,208
42,456
42,688
42,772
42,788
43,627
44,120
44,297
44,300
44,335
44,824
45,62
45,228
45,234
45,295
45,329
45,565
45,625
45,734
45,767
45,795
45,895
45,902
46,33
46,79
46,85
46,116
46,119
46,141
46,149
46,178
46,251
46,271
46,355
46,369
46,386
46,387
46,391
46,466
46,474
46,487
46,539
46,589
46,593
46,597
46,673
46,682
46,692
46,711
46,712
46,795
46,826
46,841
46,916
47,245
48,845
49,119
49,141
49,300
